Line in Christus Patiens,Work ID,Line in work,Number of words matching
2210,14,808,0
2212,5,666,5
2213,5,716,3
2213,5,667,2
2216,5,712,3
2218,5,713,4
2219,5,668,6
2220,5,669,5
2221,5,775,5
2222,5,776,3
2222,5,670,3
2223,5,671,4
2227,5,778,6
2228,5,779,2
2229,5,780,3
2231,14,130,4
2233,5,672,4
2235,14,189,2
2235,11,947,3
2244,5,776,5
2245,5,777,2
2254,5,1077,2
2256,5,1078,8
2257,5,1079,0
2258,5,1082,3
2259,5,1083,4
2260,5,1084,7
2261,5,1085,5
2262,5,769,5
2263,5,770,1
2264,5,771,6
2265,5,772,3
2266,5,774,0
2268,5,794,6
2269,5,795,6
2277,5,787,6
2278,5,788,4
2279,5,789,3
2280,5,790,4
2286,5,787,1
2287,5,846,0
2293,14,53,1
2294,14,54,3
2295,8,569,4
2299,14,52,2
2303,14,53,2
2304,14,54,3
2305,14,808,5
2306,14,809,1
2307,14,810,1
2308,14,811,2
2309,14,812,5
2310,14,813,7
2311,5,854,2
2313,14,815,2
2314,14,78,3
2316,14,95,2
2322,14,866,4
2323,14,835,5
2324,14,834,4
2325,14,837,3
2326,14,838,4
2327,14,68,2
2328,14,69,0
2329,14,68,0
2329,14,69,0
2331,14,824,3
2332,14,825,4
2334,14,63,3
2336,14,65,7
2337,14,66,4
2338,14,59,3
2339,14,60,1
2341,14,68,3
2343,14,77,4
2344,14,79,5
2345,14,94,2
2346,14,76,4
2347,14,69,3
2348,14,70,6
2349,14,72,5
2350,14,111,4
2351,14,74,2
2352,14,73,1
2353,14,102,7
2354,14,103,2
2355,14,104,2
2356,14,866,6
2357,14,79,4
2367,14,105,6
2368,14,106,6
2369,14,107,5
2370,14,108,2
2371,14,109,4
2373,14,84,6
2375,14,83,5
2376,14,868,6
2386,14,50,1
2387,14,50,0
2389,14,52,4
2390,14,52,4
2395,5,4,0
2401,8,781,1
2402,15,475,1
2402,11,930,1
2405,5,4,1
2411,14,582,3
2443,14,297,1
2448,14,291,0
2449,5,1078,1
2449,14,294,4
2450,14,295,1
2452,14,285,4
2455,14,300,4
2467,14,291,1
2488,12,136,1
2497,6,1070,3
2499,8,906,4
2519,5,60,0
2520,5,61,2
2531,2,154,2
2532,2,1006,2
2533,2,1006,0
2538,14,388,4
2542,5,1031,2
2557,5,1344,3
2560,5,1345,3
2562,5,1346,0
2563,5,1348,3
2564,5,1120,4
2565,5,1121,0
2572,8,61,1
2572,8,66,0
2573,8,68,1
2573,5,1339,1
2574,5,53,0
2574,5,4,0
2578,8,83,0
2579,8,84,5
2581,8,85,2
2582,8,73,5
2583,8,74,5
2584,8,75,0
2587,8,87,6
2597,8,64,3
2598,8,66,2
2599,8,66,0
2601,14,653,5
2602,14,654,2
2602,11,14,2
-20,17,2,5
